# the cases were examined with get_Tc.py
#case             offset_x   D_init   Rn     Rmax    alpha_r   Dstar   time_minvol
3D_run141_alphar8.0_dstar0.6   0.0   0.0003   0.000182     0.0004931484    8.11114869277   0.608336151958  0.00010525918
3D_run141_alphar8.0_dstar0.7   0.0   0.00035   0.000182     0.0004931484    8.11114869277   0.709725510617  0.00010471496
3D_run141_alphar8.0_dstar0.8   0.0   0.0004   0.000182     0.0004931484    8.11114869277   0.811114869277  0.00010406803
3D_run141_alphar8.0_dstar0.9   0.0   0.00045   0.000182     0.0004931484    8.11114869277   0.912504227936  0.00010267689
3D_run141_alphar8.0_dstar1.1   0.0   0.00055   0.000182     0.0004931484    8.11114869277   1.11528294526  9.9733461e-05
3D_run141_alphar8.0_dstar1.3   0.0   0.00065   0.000182     0.0004931484    8.11114869277   1.31806166257  9.7460792e-05
3D_run141_alphar8.0_dstar1.5   0.0   0.00075   0.000182     0.0004931484    8.11114869277   1.52084037989  9.5759656e-05
3D_run141_alphar8.0_dstar1.65   0.0   0.000825   0.000182     0.0004931484    8.11114869277   1.67292441788  9.5058126e-05
3D_run141_alphar8.0_dstar1.8   0.0   0.0009   0.000182     0.0004931484    8.11114869277   1.82500845587  9.4070577e-05
3D_run141_alphar8.0_dstar2.0   0.0   0.001   0.000182     0.0004931484    8.11114869277   2.02778717319  9.3244374e-05
3D_run141_alphar8.0_dstar2.15   0.0   0.001075   0.000182     0.0004931484    8.11114869277   2.17987121118  9.263059e-05
3D_run141_alphar8.0_dstar2.3   0.0   0.00115   0.000182     0.0004931484    8.11114869277   2.33195524917  9.221892e-05
#3D_run141_alphar8.0_dstar2.5   0.0   0.00125   0.000182     0.0004931484    8.11114869277   2.53473396649  9.1889828e-05
