#patm    pac   Rmax
20000.0    66000000.0   0.00173122
20000.0    68000000.0   0.00177464
20000.0    70000000.0   0.00181767
20000.0    72000000.0   0.00186073
20000.0    74000000.0   0.00190349
20000.0    76000000.0   0.00194594
20000.0    78000000.0   0.00198825
20000.0    80000000.0   0.00203021
20000.0    82000000.0   0.00207231
20000.0    84000000.0   0.00211402
20000.0    86000000.0   0.00215551
20000.0    88000000.0   0.00219691
20000.0    90000000.0   0.00223811
20000.0    92000000.0   0.00227907
20000.0    94000000.0   0.00231995
20000.0    96000000.0   0.00236062
20000.0    98000000.0   0.0024012

22000.0    2000000.0   7.44359e-05
22000.0    4000000.0   0.00015016
22000.0    6000000.0   0.00021744
22000.0    8000000.0   0.000280429
22000.0    10000000.0   0.000340518
22000.0    12000000.0   0.000398443
22000.0    14000000.0   0.000454633
22000.0    16000000.0   0.000509411
22000.0    18000000.0   0.000562968
22000.0    20000000.0   0.000615473
22000.0    22000000.0   0.000667044
22000.0    24000000.0   0.000717794
22000.0    26000000.0   0.000767785
22000.0    28000000.0   0.0008171
22000.0    30000000.0   0.000865761
22000.0    32000000.0   0.000913849
22000.0    34000000.0   0.000961478
22000.0    36000000.0   0.00100852
22000.0    38000000.0   0.00105511
22000.0    40000000.0   0.00110133
22000.0    42000000.0   0.0011471
22000.0    44000000.0   0.00119247
22000.0    46000000.0   0.00123743
22000.0    48000000.0   0.00128207
22000.0    50000000.0   0.00132644
22000.0    52000000.0   0.00137042
22000.0    54000000.0   0.00141414
22000.0    56000000.0   0.00145746
22000.0    58000000.0   0.00150063
22000.0    60000000.0   0.00154351
22000.0    62000000.0   0.00158608
22000.0    64000000.0   0.00162836
22000.0    66000000.0   0.00167052
22000.0    68000000.0   0.00171228
22000.0    70000000.0   0.00175398
22000.0    72000000.0   0.00179547
22000.0    74000000.0   0.00183665
22000.0    76000000.0   0.00187763
22000.0    78000000.0   0.00191842
22000.0    80000000.0   0.00195906
22000.0    82000000.0   0.00199958
22000.0    84000000.0   0.00203974
22000.0    86000000.0   0.0020799
22000.0    88000000.0   0.00211974
22000.0    90000000.0   0.00215946
22000.0    92000000.0   0.00219917
22000.0    94000000.0   0.00223855
22000.0    96000000.0   0.00227773
22000.0    98000000.0   0.00231681

24000.0    2000000.0   7.18329e-05
24000.0    4000000.0   0.000145262
24000.0    6000000.0   0.000210436
24000.0    8000000.0   0.000271423
24000.0    10000000.0   0.000329631
24000.0    12000000.0   0.000385713
24000.0    14000000.0   0.000440148
24000.0    16000000.0   0.000493161
24000.0    18000000.0   0.000545029
24000.0    20000000.0   0.000595885
24000.0    22000000.0   0.000645796
24000.0    24000000.0   0.000694964
24000.0    26000000.0   0.000743316
24000.0    28000000.0   0.000791102
24000.0    30000000.0   0.000838256
24000.0    32000000.0   0.000884833
24000.0    34000000.0   0.000930918
24000.0    36000000.0   0.000976489
24000.0    38000000.0   0.00102164
24000.0    40000000.0   0.00106635
24000.0    42000000.0   0.00111059
24000.0    44000000.0   0.00115457
24000.0    46000000.0   0.00119812
24000.0    48000000.0   0.00124138
24000.0    50000000.0   0.00128421
24000.0    52000000.0   0.00132688
24000.0    54000000.0   0.00136918
24000.0    56000000.0   0.00141113
24000.0    58000000.0   0.00145293
24000.0    60000000.0   0.00149449
24000.0    62000000.0   0.00153568
24000.0    64000000.0   0.00157668
24000.0    66000000.0   0.00161748
24000.0    68000000.0   0.0016579
24000.0    70000000.0   0.00169836
24000.0    72000000.0   0.00173832
24000.0    74000000.0   0.00177838
24000.0    76000000.0   0.00181802
24000.0    78000000.0   0.0018576
24000.0    80000000.0   0.0018968
24000.0    82000000.0   0.00193609
24000.0    84000000.0   0.00197492
24000.0    86000000.0   0.00201389
24000.0    88000000.0   0.00205246
24000.0    90000000.0   0.00209084
24000.0    92000000.0   0.00212932
24000.0    94000000.0   0.00216741
24000.0    96000000.0   0.00220541
24000.0    98000000.0   0.0022432

26000.0    2000000.0   6.94801e-05
26000.0    4000000.0   0.000140882
26000.0    6000000.0   0.000204189
26000.0    8000000.0   0.000263448
26000.0    10000000.0   0.000319957
26000.0    12000000.0   0.000374449
