# the cases were examined from time 10e-6 to 1.0
#case             offset_x   D_init   Rn     Rmax    alpha_r   Dstar   time_of_maxU_liq    max_U_liq
3D_run141_alphar4.3_dstar2.0   0.00185   0.001   0.000182     0.0004931484    4.35974242236   2.02778717319  9.258647886e-05      177.10787
3D_run141_alphar4.3_dstar2.15   0.00185   0.001075   0.000182     0.0004931484    4.35974242236   2.17987121118  9.206410973e-05      200.40478
3D_run141_alphar4.3_dstar2.3   0.00185   0.00115   0.000182     0.0004931484    4.35974242236   2.33195524917  9.164336179e-05      213.34448

3D_run141_alphar5.0_dstar0.3   0.0015   0.00015   0.000182     0.0004931484    5.06946793298   0.304168075979  0.0001023373868      41.000355      #22.152089
3D_run141_alphar5.0_dstar0.4   0.0015   0.0002   0.000182     0.0004931484    5.06946793298   0.405557434638  9.931981608e-05      51.459139
3D_run141_alphar5.0_dstar0.5   0.0015   0.00025   0.000182     0.0004931484    5.06946793298   0.506946793298  9.72530384e-05      62.554085
3D_run141_alphar5.0_dstar0.6   0.0015   0.0003   0.000182     0.0004931484    5.06946793298   0.608336151958  9.573673489e-05      72.03217
3D_run141_alphar5.0_dstar0.7   0.0015   0.00035   0.000182     0.0004931484    5.06946793298   0.709725510617  9.508960292e-05      79.658952
3D_run141_alphar5.0_dstar0.8   0.0015   0.0004   0.000182     0.0004931484    5.06946793298   0.811114869277  9.457337285e-05      84.558121
3D_run141_alphar5.0_dstar0.9   0.0015   0.00045   0.000182     0.0004931484    5.06946793298   0.912504227936  9.417475072e-05      87.90523
3D_run141_alphar5.0_dstar1.1   0.0015   0.00055   0.000182     0.0004931484    5.06946793298   1.11528294526  9.404080965e-05      97.737431
3D_run141_alphar5.0_dstar1.3   0.0015   0.00065   0.000182     0.0004931484    5.06946793298   1.31806166257  9.356113458e-05      105.89077
3D_run141_alphar5.0_dstar1.5   0.0015   0.00075   0.000182     0.0004931484    5.06946793298   1.52084037989  9.328456024e-05      118.99929
3D_run141_alphar5.0_dstar1.65   0.0015   0.000825   0.000182     0.0004931484    5.06946793298   1.67292441788  9.315635787e-05      129.23894
3D_run141_alphar5.0_dstar1.8   0.0015   0.0009   0.000182     0.0004931484    5.06946793298   1.82500845587  9.35167652e-05      153.15522
3D_run141_alphar5.0_dstar2.0   0.0015   0.001   0.000182     0.0004931484    5.06946793298   2.02778717319  9.272669427e-05      174.61089
3D_run141_alphar5.0_dstar2.15   0.0015   0.001075   0.000182     0.0004931484    5.06946793298   2.17987121118  9.21046324e-05      186.41239
3D_run141_alphar5.0_dstar2.3   0.0015   0.00115   0.000182     0.0004931484    5.06946793298   2.33195524917  9.176589509e-05      210.65409

3D_run141_alphar5.75_dstar0.3   0.001125   0.00015   0.000182     0.0004931484    5.82988812293   0.304168075979  0.0001026204292      41.304406
3D_run141_alphar5.75_dstar0.5   0.001125   0.00025   0.000182     0.0004931484    5.82988812293   0.506946793298  9.733852844e-05      62.086852
3D_run141_alphar5.75_dstar0.7   0.001125   0.00035   0.000182     0.0004931484    5.82988812293   0.709725510617  9.524793273e-05      79.187131
3D_run141_alphar5.75_dstar0.9   0.001125   0.00045   0.000182     0.0004931484    5.82988812293   0.912504227936  9.432122211e-05      88.162877
3D_run141_alphar5.75_dstar1.1   0.001125   0.00055   0.000182     0.0004931484    5.82988812293   1.11528294526  9.406460411e-05      97.230473
3D_run141_alphar5.75_dstar1.3   0.001125   0.00065   0.000182     0.0004931484    5.82988812293   1.31806166257  9.555092427e-05      105.05992
3D_run141_alphar5.75_dstar1.5   0.001125   0.00075   0.000182     0.0004931484    5.82988812293   1.52084037989  9.355332156e-05      119.20497
3D_run141_alphar5.75_dstar1.65   0.001125   0.000825   0.000182     0.0004931484    5.82988812293   1.67292441788  9.323172377e-05      126.84775
